,titles,comment_count,episode_numbers
184,Pringles-Experience,6,187
185,Woodstöckchen,6,188
186,Unser perfektes Dinner,9,189
187,Vorsorge,7,190
188,Käsemanufaktur,15,191
189,"Dippe das, was dipbar ist",10,192
190,Tiefkühlkost-Frage,12,193
191,Der große Rant,15,194
192,Supermarktpsychologie,19,195
193,Technische Schwierigkeiten,8,197
194,Zurück in die Normalität,17,198
195,Aiman Abdallah Superstar,5,199
196,🖕🙈💩,9,200
197,Die ESC-Nachbesprechung,16,201
198,Tauben im Untergrund,12,202
199,Intramuskulär,5,203
200,Das PietSmiet-Casting,10,204
201,Puffpaff,9,205
202,Der neue Andi,3,206
203,Der alte Andi,14,207
204,Völkerball,11,208
205,Partnervibratoren,17,209
206,Cocktailkirsche 😏,21,210
207,Sitzen im Duschen,19,211
208,Die Faszination am Absurden,13,212
209,ʰᵃˡˡᵒ,14,213
210,Roadtrip-Essen,16,214
211,Carazza,12,215
212,Niederländische Spezialitäten,15,216
213,Nasenring,15,217
214,Raumluftkühlschrank,19,218
215,Insel-Shopping,11,219
216,Andis großer Traum,17,220
217,Außergewöhnliches,24,221
218,Der neue Andi,14,222
219,Mikkelversum,19,223
220,"Wetten, dass..?",15,224
221,Kaffeekäse,22,225
222,Crack oder Booster,12,226
223,Rindenmulch,9,227
224,Feiertagsfolge,9,228
225,2023,10,229
226,Schönheit kommt durchs Unperfekte,18,230
227,Das Haus vom Nikolaus,12,231
228,Beige BSDM,17,232
229,Aufschlucken (mit Tim Raue),10,233
230,Der deutsche ESC-Vorentscheid,23,234
231,Stressiger Tag in der Lokalpresse,21,235
232,Andis neue Brille,13,236
233,Zensiert (zensiert),18,237
234,Erdel-React,15,238
235,Smørrebrød-Trivia,17,239
236,The First Influencer,10,240
237,Völkerboxen,24,241
238,Diploch,17,242
239,DDDie Passion,19,243
240,Urlaubbols,10,244
241,ESC im Vatikan,21,245
242,ESC-Megaparty,19,246
243,Andi McAndiface,12,247
244,Ein kleines Geheimnis,11,248
245,Hotdog-Hyperloop,14,249
246,Trojanischer Hund,18,250
247,Malle-Spezial,18,251
248,ZDF-Fernsehgarten,17,252
249,Hoden,15,253
250,Leuchtarmbänder-Lösungen,5,254
251,Handshake-Fails,20,255
252,DDD-Universe,8,256
253,Sex Dungeon,16,257
254,World Football Water,16,258
255,Throwing Andi,10,259
256,Das Kommentare-Experiment,11,260
257,Der eloquente Eine,21,261
258,Spitztüte,18,262
259,Was ISS denn los?,12,263
260,"Erfindungen, aber nicht unsere",10,264
261,not found,15,51
262,Le petit fromage,9,266
263,Kreuzzug,12,267
264,Gandalf Blauhut,27,268
265,Andi und Mikkel Ulrich,8,269
266,Die Amigos auf der POLARIS,2,270
